movie,return_ratio,year,tconst,genres,studio,averagerating,numvotes
Madagascar 3: Europe's Most Wanted,5.643536227586207,2012,tt1277953,Adventure,P/DW,6.8,146858
Madagascar 3: Europe's Most Wanted,5.643536227586207,2012,tt1277953,Animation,P/DW,6.8,146858
Madagascar 3: Europe's Most Wanted,5.643536227586207,2012,tt1277953,Comedy,P/DW,6.8,146858
How to Train Your Dragon 2,4.459235820689655,2014,tt1646971,Action,Fox,7.8,278205
How to Train Your Dragon 2,4.459235820689655,2014,tt1646971,Adventure,Fox,7.8,278205
How to Train Your Dragon 2,4.459235820689655,2014,tt1646971,Animation,Fox,7.8,278205
Mr. Peabody & Sherman,1.6297438620689655,2014,tt0864835,Adventure,Fox,6.8,57277
Mr. Peabody & Sherman,1.6297438620689655,2014,tt0864835,Animation,Fox,6.8,57277
Mr. Peabody & Sherman,1.6297438620689655,2014,tt0864835,Comedy,Fox,6.8,57277
Rise of the Guardians,1.8297493793103448,2012,tt1446192,Action,P/DW,7.3,145281
Rise of the Guardians,1.8297493793103448,2012,tt1446192,Adventure,P/DW,7.3,145281
Rise of the Guardians,1.8297493793103448,2012,tt1446192,Animation,P/DW,7.3,145281
Captain America: The First Avenger,2.908744864285714,2011,tt0458339,Action,Par.,6.9,668137
Captain America: The First Avenger,2.908744864285714,2011,tt0458339,Adventure,Par.,6.9,668137
Captain America: The First Avenger,2.908744864285714,2011,tt0458339,Sci-Fi,Par.,6.9,668137
Kung Fu Panda 3,3.72234115,2016,tt2267968,Action,Fox,7.1,116166
Kung Fu Panda 3,3.72234115,2016,tt2267968,Adventure,Fox,7.1,116166
Kung Fu Panda 3,3.72234115,2016,tt2267968,Animation,Fox,7.1,116166
G.I. Joe: Retaliation,2.5590268928571427,2013,tt1583421,Action,Par.,5.8,165536
G.I. Joe: Retaliation,2.5590268928571427,2013,tt1583421,Adventure,Par.,5.8,165536
G.I. Joe: Retaliation,2.5590268928571427,2013,tt1583421,Sci-Fi,Par.,5.8,165536
Exodus: Gods and Kings,1.3809216142857144,2014,tt1528100,Action,Fox,6.0,150858
Exodus: Gods and Kings,1.3809216142857144,2014,tt1528100,Adventure,Fox,6.0,150858
Exodus: Gods and Kings,1.3809216142857144,2014,tt1528100,Drama,Fox,6.0,150858
The BFG,0.8223603571428572,2016,tt3691740,Adventure,BV,6.4,69340
