id,movie,production_budget,domestic_gross,worldwide_gross,year,month,return_ratio
54,Australia,130000000.0,49554002.0,215080810.0,2008,November,1.0356524
55,R.I.P.D.,130000000.0,33618855.0,79076678.0,2013,July,-0.13311128461538463
56,How to Train Your Dragon: The Hidden World,129000000.0,160791800.0,519258283.0,2019,February,4.271706069767442
57,"The Twilight Saga: Breaking Dawn, Part 1",127500000.0,281287133.0,689420051.0,2011,November,6.613389678431372
58,Dinosaur,127500000.0,137748063.0,356148063.0,2000,May,2.8736951058823528
59,Logan,127000000.0,226277068.0,615461394.0,2017,March,5.627861905511811
60,Night at the Museum: Secret of the Tomb,127000000.0,113746621.0,353756621.0,2014,December,2.6811278897637796
61,Harry Potter and the Deathly Hallows: Part II,125000000.0,381193157.0,1341693157.0,2011,July,12.783090512
62,The Hunger Games: Mockingjay - Part 1,125000000.0,337135885.0,766575131.0,2014,November,7.829688128
63,Harry Potter and the Sorcererâs Stone,125000000.0,317871467.0,975047606.0,2001,November,9.343352584
64,Harry Potter and the Deathly Hallows: Part I,125000000.0,296131568.0,960431568.0,2010,November,9.052505088
65,The Da Vinci Code,125000000.0,217536138.0,767820459.0,2006,May,6.882852776
66,X-Men 2,125000000.0,214949694.0,406875536.0,2003,May,3.97460184
67,Fast Five,125000000.0,210031325.0,630163454.0,2011,April,5.721558232
68,Teenage Mutant Ninja Turtles,125000000.0,191204754.0,485004754.0,2014,August,4.409676064
69,Sherlock Holmes: A Game of Shadows,125000000.0,186848418.0,535663443.0,2011,December,4.780094888
70,The Day After Tomorrow,125000000.0,186740799.0,556319450.0,2004,May,4.944481992
71,The Boss Baby,125000000.0,175003033.0,510878762.0,2017,March,4.48705436
72,Clash of the Titans,125000000.0,163214888.0,493214888.0,2010,April,4.251438208
73,Trolls,125000000.0,153707064.0,344150134.0,2016,November,2.982857584
74,Godzilla,125000000.0,136314294.0,376000000.0,1998,May,3.098514352
75,Prometheus,125000000.0,126477084.0,402448265.0,2012,June,3.231402792
76,The Bourne Legacy,125000000.0,113203870.0,280355920.0,2012,August,2.14847832
77,Batman & Robin,125000000.0,107325195.0,238317814.0,1997,June,1.765144072
78,Skyscraper,125000000.0,68420120.0,304115534.0,2018,July,1.980285232
79,Total Recall,125000000.0,58877969.0,211856088.0,2012,August,1.165872456
80,Assassinâs Creed,125000000.0,54647948.0,240759682.0,2016,December,1.36326104
81,Monster Trucks,125000000.0,33370166.0,61642798.0,2017,January,-0.239896288
82,The 13th Warrior,125000000.0,32698899.0,61698899.0,1999,August,-0.244817616
83,How the Grinch Stole Christmas,123000000.0,260044825.0,345141403.0,2000,November,3.9202132357723576
84,Mission: Impossible 2,120000000.0,215409889.0,549588516.0,2000,May,5.374986708333333
85,The Perfect Storm,120000000.0,182618434.0,328711434.0,2000,June,3.261082233333333
86,Jason Bourne,120000000.0,162192920.0,416168316.0,2016,July,3.8196769666666666
87,Fantastic Four: Rise of the Silver Surfer,120000000.0,131921738.0,289480691.0,2007,June,2.5116869083333335
88,Life of Pi,120000000.0,124987022.0,620912003.0,2012,November,5.215825208333333
89,Ghost Rider,120000000.0,115802596.0,229545589.0,2007,February,1.8779015416666667
90,Rampage,120000000.0,101028233.0,428056280.0,2018,April,3.409037608333333
91,Charlie's Angels: Full Throttle,120000000.0,100814328.0,227200000.0,2003,June,1.7334527333333334
92,Elysium,120000000.0,93050117.0,286192091.0,2013,August,2.1603517333333335
93,Oblivion,120000000.0,89107235.0,287916633.0,2013,April,2.1418655666666666
94,Power Rangers,120000000.0,85364450.0,142531552.0,2017,March,0.89913335
95,Stuart Little 2,120000000.0,64956806.0,166000000.0,2002,July,0.92464005
96,RoboCop,120000000.0,58607007.0,242981799.0,2014,February,1.51324005
97,The Chronicles of Riddick,120000000.0,57712751.0,107212751.0,2004,June,0.3743791833333333
98,Fantastic Four,120000000.0,56117548.0,167849187.0,2015,August,0.8663894583333334
99,Speed Racer,120000000.0,43945766.0,93394462.0,2008,May,0.1445019
100,The Island,120000000.0,35818913.0,163018913.0,2005,July,0.6569818833333333
1,How Do You Know?,120000000.0,30212620.0,49628177.0,2010,December,-0.334660025
2,Knight and Day,117000000.0,76423035.0,258751370.0,2010,June,1.8647385042735043
3,Venom,116000000.0,213511408.0,853628605.0,2018,October,8.199482870689655
4,Star Wars Ep. I: The Phantom Menace,115000000.0,474544677.0,1027044677.0,1999,May,12.057298730434782
5,Star Wars Ep. III: Revenge of the Sith,115000000.0,380270577.0,848998877.0,2005,May,9.6892996
6,Star Wars Ep. II: Attack of the Clones,115000000.0,310676740.0,656695615.0,2002,May,7.4119335217391304
7,"Monsters, Inc.",115000000.0,289423425.0,559757719.0,2001,November,6.384183860869565
8,The Wolverine,115000000.0,132556852.0,416456852.0,2013,July,3.7740322086956524
9,Dante's Peak,115000000.0,67163857.0,178200000.0,1997,February,1.1335987565217391
10,The Huntsman: Winterâs War,115000000.0,48003015.0,165149302.0,2016,April,0.8534984086956522
11,Windtalkers,115000000.0,40914068.0,77628265.0,2002,June,0.030802895652173912
12,AstÃ©rix aux Jeux Olympiques,113500000.0,999811.0,132999811.0,2008,July,0.18061340969162995
13,Gulliver's Travels,112000000.0,42779261.0,232017848.0,2010,December,1.4535456160714286
14,Ferdinand,111000000.0,84410380.0,289847930.0,2017,December,2.3716964864864867
15,Deadpool 2,110000000.0,324591735.0,786680557.0,2018,May,9.102475381818182
16,Gravity,110000000.0,274092705.0,693698673.0,2013,October,7.798103436363636
17,Night at the Museum,110000000.0,250863268.0,579446407.0,2006,December,6.548269772727273
18,Mr. and Mrs. Smith,110000000.0,186336279.0,486124090.0,2005,June,5.1132760818181815
