movie,return_ratio,year,tconst,genres,studio
Trouble with the Curve,0.3930341666666667,2012,tt2083383,"Drama,Sport",WB
The Mortal Instruments: City of Bones,0.7855164666666666,2013,tt1538403,"Action,Fantasy,Horror",SGem
Priest,0.8881775333333334,2011,tt0822847,"Action,Adventure,Fantasy",SGem
Mortdecai,-0.36512886666666666,2015,tt3045616,"Action,Comedy,Crime",LGF
Sherlock Gnomes,1.2164495254237289,2018,tt2296777,"Adventure,Animation,Comedy",Par.
Deadpool,19.070625896551725,2016,tt1431045,"Action,Adventure,Comedy",Fox
American Sniper,14.473323172413792,2014,tt2179136,"Action,Biography,Drama",WB
Goosebumps,3.1202548620689656,2015,tt1051904,"Adventure,Comedy,Family",Sony
Red Tails,0.7283081896551724,2012,tt0485985,"Action,Adventure,Drama",Fox
The Internship,1.385267724137931,2013,tt2234155,Comedy,Fox
Resident Evil: Afterlife,5.19135227826087,2010,tt1220634,"Action,Adventure,Horror",SGem
That's My Boy,0.6524578086956522,2012,tt1232200,Comedy,Sony
Into the Woods,5.069729056939502,2014,tt2180411,"Adventure,Comedy,Drama",BV
Bohemian Rhapsody,19.205248745454547,2018,tt1727824,"Biography,Drama,Music",Fox
Fifty Shades Darker,8.0151364,2017,tt4465564,"Drama,Romance",Uni.
Captain Phillips,4.959720018181819,2013,tt1535109,"Biography,Drama,Thriller",Sony
The Equalizer,4.353352036363637,2014,tt0455944,"Action,Crime,Thriller",Sony
Fifty Shades Freed,7.577425072727273,2018,tt4477536,"Drama,Romance,Thriller",Uni.
Date Night,3.563280672727273,2010,tt1279935,"Comedy,Crime,Romance",Fox
Free Birds,2.020682763636364,2013,tt1621039,"Adventure,Animation,Comedy",Rela.
Muppets Most Wanted,1.3725671636363637,2014,tt2281587,"Adventure,Comedy,Crime",BV
Kubo and the Two Strings,1.283112909090909,2016,tt4302938,"Action,Adventure,Animation",Focus
Burlesque,1.363515090909091,2010,tt1126591,"Drama,Music,Musical",SGem
The Watch,0.8451462727272727,2012,tt1298649,"Action,Comedy,Horror",Fox
Crimson Peak,0.9283122545454545,2015,tt2554274,"Drama,Fantasy,Horror",Uni.
Black Mass,2.045538679245283,2015,tt1355683,"Biography,Crime,Drama",WB
Zero Dark Thirty,3.387298114285714,2012,tt1790885,"Drama,Thriller",Sony
Valentine's Day,5.308749653846154,2010,tt0817230,"Comedy,Romance",WB (NL)
The Change-Up,1.1777016346153846,2011,tt1488555,"Comedy,Fantasy",Uni.
Alpha,1.6563970980392158,2018,tt4244998,"Adventure,Drama,Family",Studio 8
